S2,T1,R-L,"[3, 2, 1]",3
S2,T2,L-R,"[4, 1, 6]",1
S2,T3,L-R,"[5, 3, 6]",2
S2,T4,R-L,"[5, 4, 1]",1
S2,T5,L-R,"[5, 2, 6]",3
S2,T6,R-L,"[5, 4, 2]",2
S3,T1,R-L,"[6, 5, 4]",3
S3,T2,L-R,"[1, 2, 6]",2
S3,T3,R-L,"[2, 1, 5]",1
S3,T4,L-R,"[3, 6, 5]",1
S3,T5,R-L,"[1, 6, 3]",2
S3,T6,L-R,"[6, 5, 3]",3
S4,T1,R-L,"[5, 1, 6]",3
S4,T2,L-R,"[2, 4, 5]",1
S4,T3,R-L,"[1, 6, 4]",1
S4,T4,L-R,"[3, 2, 6]",3
S4,T5,L-R,"[2, 5, 6]",2
S4,T6,R-L,"[3, 4, 1]",2
S5,T1,L-R,"[1, 5, 6]",3
S5,T2,L-R,"[5, 2, 1]",2
S5,T3,R-L,"[1, 6, 5]",1
S5,T4,L-R,"[6, 4, 2]",1
S5,T5,R-L,"[4, 6, 1]",2
S5,T6,R-L,"[1, 5, 6]",3
S6,T1,L-R,"[5, 2, 1]",1
S6,T2,L-R,"[6, 5, 4]",3
S6,T3,R-L,"[3, 6, 1]",2
S6,T4,L-R,"[3, 5, 6]",1
S6,T5,L-R,"[6, 5, 2]",3
S6,T6,R-L,"[5, 4, 3]",2
S7,T1,R-L,"[3, 6, 1]",2
S7,T2,L-R,"[3, 1, 6]",1
S7,T3,R-L,"[2, 3, 6]",3
S7,T4,L-R,"[5, 2, 6]",2
S7,T5,L-R,"[3, 1, 5]",1
S7,T6,R-L,"[1, 4, 5]",3
S8,T1,R-L,"[4, 3, 1]",2
S8,T2,L-R,"[4, 2, 6]",2
S8,T3,L-R,"[1, 4, 6]",3
S8,T4,R-L,"[5, 6, 1]",1
S8,T5,L-R,"[2, 3, 6]",3
S8,T6,R-L,"[4, 5, 1]",1
S9,T1,R-L,"[5, 4, 1]",2
S9,T2,L-R,"[1, 5, 2]",3
S9,T3,R-L,"[4, 2, 1]",3
S9,T4,L-R,"[3, 6, 5]",2
S9,T5,R-L,"[6, 3, 4]",1
S9,T6,L-R,"[6, 1, 3]",1
S10,T1,R-L,"[5, 1, 4]",1
S10,T2,L-R,"[6, 4, 3]",1
S10,T3,R-L,"[2, 5, 3]",2
S10,T4,L-R,"[6, 3, 4]",3
S10,T5,L-R,"[4, 6, 5]",2
S10,T6,R-L,"[5, 4, 6]",3
